Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
40-off2020-mens-adoncia-sneakers,,,,,,,,Black,,7-7.5,,,YYX090833,0.0,,deny,manual,29.99,66.99,true,false,,https://cdn.shopify.com/s/files/1/0310/9175/3099/products/product-image-1434040200.jpg?v=1606229238,2,,,,,,,,,,,,,,,,,,,lb,,,
40-off2020-mens-adoncia-sneakers,,,,,,,,Black,,8-8.5,,,YYX090834,0.0,,deny,manual,29.99,66.99,true,false,,https://cdn.shopify.com/s/files/1/0310/9175/3099/products/13509480194_709793517.400x400.jpg?v=1606229242,3,,,,,,,,,,,,,,,,,,,lb,,,
40-off2020-mens-adoncia-sneakers,,,,,,,,Black,,9-9.5,,,YYX090835,0.0,,deny,manual,29.99,66.99,true,false,,https://cdn.shopify.com/s/files/1/0310/9175/3099/products/2019-new-summer-men-s-jogging-shoes-outdoor-comfortable-men-s-sports-shoes-bouncing-breathable-brand.jpg?v=1606229245,4,,,,,,,,,,,,,,,,,,,lb,,,
40-off2020-mens-adoncia-sneakers,,,,,,,,Black,,10-10.5,,,YYX090836,0.0,,deny,manual,29.99,66.99,true,false,,https://cdn.shopify.com/s/files/1/0310/9175/3099/products/H9dcccccfde7a4714b4c828e82b778d881.jpg?v=1606229247,5,,,,,,,,,,,,,,,,,,,lb,,,
40-off2020-mens-adoncia-sneakers,,,,,,,,Black,,11-11.5,,,YYX090837,0.0,,deny,manual,29.99,66.99,true,false,,https://cdn.shopify.com/s/files/1/0310/9175/3099/products/Hcc70ad299d034ffeaade2bb4a0c566cfr_jpg.jpg?v=1606229249,6,,,,,,,,,,,,,,,,,,,lb,,,
40-off2020-mens-adoncia-sneakers,,,,,,,,Brown,,6-6.5,,,YYX090826,0.0,,deny,manual,29.99,66.99,true,false,,https://cdn.shopify.com/s/files/1/0310/9175/3099/products/He119348b92fb4b0598b9f9ae3be77724t_jpg.jpg?v=1606229255,7,,,,,,,,,,,,,,,,,,,lb,,,
40-off2020-mens-adoncia-sneakers,,,,,,,,Brown,,7-7.5,,,YYX090827,0.0,,deny,manual,29.99,66.99,true,false,,https://cdn.shopify.com/s/files/1/0310/9175/3099/products/H2dd859a603b54ce984aaa21ae7c60a17N_jpg.jpg?v=1606229257,8,,,,,,,,,,,,,,,,,,,lb,,,
40-off2020-mens-adoncia-sneakers,,,,,,,,Brown,,8-8.5,,,YYX090828,0.0,,deny,manual,29.99,66.99,true,false,,https://cdn.shopify.com/s/files/1/0310/9175/3099/products/H369f896dc82148f7ab5420a07c633539c_jpg.jpg?v=1606229262,9,,,,,,,,,,,,,,,,,,,lb,,,
40-off2020-mens-adoncia-sneakers,,,,,,,,Brown,,9-9.5,,,YYX090829,0.0,,deny,manual,29.99,66.99,true,false,,https://cdn.shopify.com/s/files/1/0310/9175/3099/products/H0ff4b46f8efd4203b24c9b35b621a5b7Y_jpg.jpg?v=1606229267,10,,,,,,,,,,,,,,,,,,,lb,,,
40-off2020-mens-adoncia-sneakers,,,,,,,,Brown,,10-10.5,,,YYX090830,0.0,,deny,manual,29.99,66.99,true,false,,,,,,,,,,,,,,,,,,,,,,lb,,,
40-off2020-mens-adoncia-sneakers,,,,,,,,Brown,,11-11.5,,,YYX090831,0.0,,deny,manual,29.99,66.99,true,false,,,,,,,,,,,,,,,,,,,,,,lb,,,
40-off2020-mens-adoncia-sneakers,,,,,,,,Gray,,6-6.5,,,YYX090838,0.0,,deny,manual,29.99,66.99,true,false,,,,,,,,,,,,,,,,,,,,,,lb,,,
40-off2020-mens-adoncia-sneakers,,,,,,,,Gray,,7-7.5,,,YYX090839,0.0,,deny,manual,29.99,66.99,true,false,,,,,,,,,,,,,,,,,,,,,,lb,,,
40-off2020-mens-adoncia-sneakers,,,,,,,,Gray,,8-8.5,,,YYX090840,0.0,,deny,manual,29.99,66.99,true,false,,,,,,,,,,,,,,,,,,,,,,lb,,,
40-off2020-mens-adoncia-sneakers,,,,,,,,Gray,,9-9.5,,,YYX090841,0.0,,deny,manual,29.99,66.99,true,false,,,,,,,,,,,,,,,,,,,,,,lb,,,
40-off2020-mens-adoncia-sneakers,,,,,,,,Gray,,10-10.5,,,YYX090842,0.0,,deny,manual,29.99,66.99,true,false,,,,,,,,,,,,,,,,,,,,,,lb,,,
40-off2020-mens-adoncia-sneakers,,,,,,,,Gray,,11-11.5,,,YYX090843,0.0,,deny,manual,29.99,66.99,true,false,,,,,,,,,,,,,,,,,,,,,,lb,,,
